vacancy,company,apply_link
Məlumat meneceri,Recruiter Aydan Qurbanova,https://hrin.co/vakansiya/melumat-meneceri-16448
SƏTƏM üzrə mühəndis,Kristal Abşeron,https://hrin.co/vakansiya/setem-uzre-muhendis-16562
Satış üzrə mütəxəssis,Dinçer və Carçıoğlu BM,https://hrin.co/vakansiya/satis-uzre-mutexessis-16561
Resepşn,Sky Park,https://hrin.co/vakansiya/resepsn-16560
Kassir,Nur Collection,https://hrin.co/vakansiya/kassir-16559
Anbardar,AS İnşaat-N,https://hrin.co/vakansiya/anbardar-16558
Satış təmsilçisi,Nur Collection,https://hrin.co/vakansiya/satis-temsilcisi-16557
Müştəri operatoru,NetTech,https://hrin.co/vakansiya/musteri-operatoru-16556
Audit,Nur Collection,https://hrin.co/vakansiya/audit-16555
HVAC sistemləri üzrə mühəndis,Almep Engineering Group,https://hrin.co/vakansiya/hvac-sistemleri-uzre-muhendis-16554
Proqram təminatı üzrə mütəxəssis,Avrora Qrup,https://hrin.co/vakansiya/proqram-teminati-uzre-mutexessis-16553
Çatdırılma üzrə təmsilçi,Baku Electronics,https://hrin.co/vakansiya/catdirilma-uzre-temsilci-16552
İşə qəbul üzrə mütəxəssis,Azərbaycan Dəmir Yolları,https://hrin.co/vakansiya/ise-qebul-uzre-mutexessis-16551
Satış təmsilçisi,Aladdin Holding,https://hrin.co/vakansiya/satis-temsilcisi-16550
Hüquq məsləhətçisi,Azerbaijan Fish Farm,https://hrin.co/vakansiya/huquq-meslehetcisi-16549
Xadimə,Santral Elektrik LTD,https://hrin.co/vakansiya/xadime-16548
Kimyaçı mühəndis,Avrora Qrup,https://hrin.co/vakansiya/kimyaci-muhendis-16547
Fırlanan avadanlıqlar üzrə çilingər,SOCAR DOWNSTREAM MANAGEMENT LLC,https://hrin.co/vakansiya/firlanan-avadanliqlar-uzre-cilinger-16546
İnsan Resursları və inzibati işlər üzrə kiçik mütəxəssis,Green Tech,https://hrin.co/vakansiya/insan-resurslari-ve-inzibati-isler-uzre-kicik-mutexessis-16545
Ofis meneceri,Caspident,https://hrin.co/vakansiya/ofis-meneceri-16544
Ofis meneceri,Bilfa Boyaları,https://hrin.co/vakansiya/ofis-meneceri-16543
Ekspeditor,Nur Çörək Zavodu,https://hrin.co/vakansiya/ekspeditor-16542
SMM mütəxəssisi,Akabe,https://hrin.co/vakansiya/smm-mutexessisi-16541
Digital marketing specialist (Rəqəmsal marketinq mütəxəssisi),Norm,https://hrin.co/vakansiya/digital-marketing-specialist-reqemsal-marketinq-mutexessisi-16540
Qrafik dizayner,Papa John’s,https://hrin.co/vakansiya/qrafik-dizayner-16539
1C operator,By Telecom,https://hrin.co/vakansiya/1c-operator-16538
Rəqəmsal marketinq üzrə mütəxəssis,Zeytun Pharmaceuticals,https://hrin.co/vakansiya/reqemsal-marketinq-uzre-mutexessis-16537
İnzibati işlər üzrə kiçik mütəxəssis,PMD Hospitality,https://hrin.co/vakansiya/inzibati-isler-uzre-kicik-mutexessis-16536
İT texniki dəstək mütəxəssisi,OBA marketlər şəbəkəsi,https://hrin.co/vakansiya/it-texniki-destek-mutexessisi-16535
Avtomobil üzrə müştəri xidmətləri meneceri,Nurgun Group,https://hrin.co/vakansiya/avtomobil-uzre-musteri-xidmetleri-meneceri-16534
Əmək münasibətləri üzrə kiçik mütəxəssis,Azerbaijan SuperMarket,https://hrin.co/vakansiya/emek-munasibetleri-uzre-kicik-mutexessis-16533
Ofis meneceri,Swissdent,https://hrin.co/vakansiya/ofis-meneceri-16532
Baş promouter,Veysəloğlu Şirkətlər Qrupu,https://hrin.co/vakansiya/bas-promouter-16531
Mühasib,Swissdent,https://hrin.co/vakansiya/muhasib-16530
Sahə memarı,ArchiCO,https://hrin.co/vakansiya/sahe-memari-16529
Stomatoloq-Cərrah,Swissdent,https://hrin.co/vakansiya/stomatoloq-cerrah-16528
Digital marketing mütəxəssisi,Baku Design Academy,https://hrin.co/vakansiya/digital-marketing-mutexessisi-16527
Maliyyə üzrə mütəxəssis,Zeytun Pharmaceuticals,https://hrin.co/vakansiya/maliyye-uzre-mutexessis-16526
Mühafizəçi,Nurgun Group,https://hrin.co/vakansiya/muhafizeci-16525
Aparıcı mühasib,AZERMASH,https://hrin.co/vakansiya/aparici-muhasib-16524
Layihə baş mühəndisi,SOCAR,https://hrin.co/vakansiya/layihe-bas-muhendisi-16523
Biznesin inkişafı şöbəsinin müdiri,Air Group,https://hrin.co/vakansiya/biznesin-inkisafi-sobesinin-mudiri-16522
Merçendayzer,Engin,https://hrin.co/vakansiya/mercendayzer-16521
Ofis meneceri,Crystal Group,https://hrin.co/vakansiya/ofis-meneceri-16520
Marketinq meneceri,Gədəbəy Mineral Suları,https://hrin.co/vakansiya/marketinq-meneceri-16519
Mühasib,Crystal Group,https://hrin.co/vakansiya/muhasib-16518
Administrativ işlər üzrə nəzarətçi,Norm,https://hrin.co/vakansiya/administrativ-isler-uzre-nezaretci-16517
Satış məsləhətçisi,Grass Azərbaycan,https://hrin.co/vakansiya/satis-meslehetcisi-16516
Məhsul sahibi,Air Group,https://hrin.co/vakansiya/mehsul-sahibi-16515
Rəqəmsal marketinq mütəxəssisi,Bonamed MMC,https://hrin.co/vakansiya/reqemsal-marketinq-mutexessisi-16514
